小区名,行政区,街道,最近地铁站,线路,边界到最近出入口(m),中心到站中心(m),占地(㎡),纬度,经度
亨龙楼,坪山区,,坑梓,14,4.1,134.5,1731,22.747162,114.364946
佳华领悦广场,坪山区,,新和,16,14.4,225.1,26547,22.705075,114.33246
龙岗智慧家园,坪山区,,宝龙,14,18.5,184.5,45495,22.69236,114.294264
坪环统建楼北区,坪山区,,坪环,16,45.2,292.4,40101,22.686242,114.343688
中兴东小区,坪山区,,坪环,16,62.0,140.5,28800,22.689245,114.342217
深城投中城花园,坪山区,,坪山围,14/16,77.2,351.5,18076,22.697126,114.338724
六和城,坪山区,,六和,16,85.8,347.7,40543,22.69561,114.333723
梓龙楼,坪山区,,坑梓,14,91.1,230.0,967,22.746847,114.364042
沙坣青草林小区,坪山区,,燕子湖,16,91.8,261.1,23210,22.691055,114.367552
龙光玖云著,坪山区,,锦龙,14,95.7,287.8,21383,22.682845,114.326181
江岭永贞小区,坪山区,,东纵纪念馆,16,97.8,272.7,33251,22.686363,114.351214
天健和悦府,坪山区,,石井,16,102.5,224.7,62794,22.696445,114.377479
香江花园,坪山区,,东纵纪念馆,16,136.7,344.4,39854,22.686164,114.352603
紫樾润府,坪山区,,石井,16,139.0,322.3,15352,22.69554,114.375296
兴龙楼,坪山区,,坑梓,14,149.5,299.9,957,22.746554,114.363437
京基御景印象,坪山区,,锦龙,14,169.8,497.1,120410,22.678506,114.328096
合正·汇一城,宝安区,西乡街道,西乡,1,0.0,237.8,48314,22.5785,113.859213
泰华·君逸世家,宝安区,新安街道,宝体,1,0.0,144.5,24934,22.564538,113.876482
康城花园,宝安区,沙井街道,沙蚝,12,0.0,104.0,11918,22.742959,113.797536
宏发领域,宝安区,新安街道,宝安中心,1/5,0.0,201.0,37412,22.557254,113.884226
云玺锦庭,宝安区,新安街道,新安,1,0.0,176.0,19281,22.552313,113.889287
会展湾雍境,宝安区,沙井街道,海上田园南,12,0.0,215.3,36392,22.720334,113.771092
春和雅苑,宝安区,沙井街道,马安山,11,0.0,105.4,17114,22.719159,113.8127
榕江壹号院,宝安区,西乡街道,碧海湾,11,0.0,303.9,26960,22.577654,113.852966
海湾明珠,宝安区,西乡街道,西乡,1,0.0,169.8,28923,22.57805,113.855739
星航华府,宝安区,福永街道,兴围,12,0.0,163.8,47846,22.645963,113.827899
洪福雅苑,宝安区,新安街道,翻身,5,0.0,80.2,8832,22.56365,113.888533
湖景居,宝安区,新安街道,新安公园,12,0.0,86.6,4848,22.564495,113.905944
海信花园,宝安区,新安街道,新安公园,12,0.0,92.7,4471,22.565545,113.905108
壹航城,宝安区,航城街道,后瑞,1,0.0,236.6,26040,22.633843,113.829777
雅然居花园,宝安区,新安街道,上川,12,2.0,416.5,12088,22.581855,113.888102
塘坊花园,宝安区,新安街道,上川,12,3.0,260.5,76440,22.581187,113.893476
马安山花园,宝安区,沙井街道,马安山,11,4.5,104.6,12294,22.719763,113.810936
泰华·阳光海,宝安区,西乡街道,碧海湾,11,5.1,396.8,115206,22.575419,113.851554
福中福·幸福海岸,宝安区,新安街道,宝体,1,5.9,300.0,76146,22.562517,113.873655
蚝三丰泽园,宝安区,沙井街道,沙蚝,12,6.0,251.5,66273,22.743844,113.794658
海滨花园,宝安区,新安街道,上川,12,6.3,168.6,17102,22.581227,113.891035
黄金台小区,宝安区,新安街道,上川,12,6.3,443.4,23940,22.583671,113.890567
集信名城,宝安区,燕罗街道,松岗公园,6,6.6,298.2,146302,22.783823,113.843678
富源商贸中心,宝安区,新安街道,翻身,5,6.8,90.6,8029,22.562877,113.889338
雅仕阁,宝安区,新安街道,上川,12,7.6,179.7,3766,22.578236,113.892058
圣淘沙骏园,宝安区,西乡街道,西乡,1,7.7,239.4,57461,22.576986,113.857625
第五大道高发西岸花园,宝安区,新安街道,宝安,11,7.7,279.4,79126,22.558053,113.872808
富士君荟,宝安区,西乡街道,固戍,1,9.0,135.8,19416,22.604083,113.840732
德金花园,宝安区,福海街道,福海西,12,10.5,221.2,21208,22.690908,113.782199
汇璟雅苑,宝安区,石岩街道,上屋,13/6,11.7,157.5,8498,22.692339,113.935633
桃源居14区,宝安区,西乡街道,钟屋南,12,13.7,310.5,44629,22.620231,113.856578
中粮·锦云,宝安区,西乡街道,流塘,12,14.8,218.7,35090,22.587081,113.882564
新世界·松风明月花园,宝安区,松岗街道,松岗,11/6,15.0,496.2,46551,22.772253,113.820977
园岭桃园居,宝安区,石岩街道,上屋,13/6,15.5,131.6,5605,22.69287,113.934699
鸿荣源·禧园,宝安区,新桥街道,沙井,11,16.8,202.4,60236,22.734342,113.821193
万象新天三期,宝安区,西乡街道,固戍,1,17.5,150.8,11231,22.605003,113.842648
勤诚达·22世纪悦园,宝安区,新安街道,洪浪北,5,19.7,205.9,16579,22.575912,113.905308
嘉华花园,宝安区,西乡街道,流塘,12,21.2,108.9,15061,22.585885,113.884043
翠岗小区一区,宝安区,福永街道,福围,12,24.0,144.2,22349,22.661143,113.816226
锦明花园,宝安区,西乡街道,碧海湾,11,26.6,163.4,25367,22.580221,113.850687
玖悦雅轩,宝安区,新安街道,灵芝,12/5,27.8,79.2,6099,22.572738,113.899388
裕安花园,宝安区,新安街道,灵芝,12/5,28.0,246.1,47780,22.56998,113.898323
新苑雅筑,宝安区,沙井街道,沙蚝,12,29.1,224.0,35587,22.743894,113.798239
云海臻府,宝安区,沙井街道,海上田园南,12,34.1,323.2,26436,22.719073,113.771188
金泓·凯旋城,宝安区,新安街道,新安,1,36.1,398.6,141549,22.550905,113.893436
园岭,宝安区,石岩街道,上屋,13/6,41.5,282.3,39319,22.69322,113.936484
流塘75区小区,宝安区,西乡街道,流塘,12,46.5,422.6,3710,22.584067,113.887631
园岭大道5号,宝安区,石岩街道,上屋,13/6,46.9,202.1,3302,22.69351,113.934797
华侨城·宝辰,宝安区,新安街道,宝安,11,47.0,175.9,2151,22.55619,113.875918
桃源居3区,宝安区,西乡街道,西乡桃源,12,48.7,256.9,32597,22.616357,113.857855
碧海湾花园,宝安区,西乡街道,西乡,1,48.9,216.7,30691,22.579751,113.855008
旭仕达名苑,宝安区,新安街道,上川,12,53.1,462.5,4286,22.581699,113.887481
后瑞华庭,宝安区,航城街道,后瑞,1,53.6,181.1,8011,22.633266,113.831102
流塘阳光花园,宝安区,西乡街道,流塘,12,54.0,227.7,14158,22.584686,113.884165
都市翠海华苑,宝安区,新安街道,灵芝,12/5,55.4,164.6,3559,22.572439,113.900742
凤田中心区,宝安区,西乡街道,宝田一路,12,55.7,311.8,38627,22.598929,113.870862
惠中家属楼,宝安区,新安街道,洪浪北,5,56.2,182.5,2198,22.577084,113.904141
丽景城,宝安区,西乡街道,宝安客运,12,61.0,394.2,72526,22.591969,113.882458
御景台,宝安区,新安街道,新安公园,12,61.1,306.0,38039,22.562783,113.907237
兰花苑,宝安区,新安街道,上川,12,61.1,141.8,12063,22.578523,113.891113
永福苑,宝安区,福永街道,福围,12,64.7,311.4,13799,22.658824,113.813516
富盈门,宝安区,西乡街道,流塘,12,64.9,266.2,35427,22.589087,113.884785
桃源居西区,宝安区,西乡街道,西乡桃源,12,65.0,414.6,124198,22.616872,113.854651
宝新花园,宝安区,新安街道,翻身,5,67.0,149.1,6256,22.561647,113.888887
君钰府,宝安区,新安街道,上川,12,73.2,343.8,14779,22.582756,113.890603
恒富花园,宝安区,石岩街道,上屋,13/6,78.1,271.6,8559,22.694146,113.934847
溪头8区,宝安区,松岗街道,松岗,11/6,79.3,327.7,51578,22.774753,113.827767
臣田新苑,宝安区,西乡街道,宝田一路,12,81.6,223.4,20649,22.596779,113.871577
碧海君庭,宝安区,西乡街道,碧海湾,11,81.9,132.0,14095,22.578474,113.849045
灵芝园,宝安区,新安街道,新安公园,12,84.0,481.7,132575,22.569504,113.904893
招商臻府,宝安区,新安街道,上川,12,84.6,298.7,18148,22.580554,113.888689
华强城市花园四期,宝安区,福海街道,塘尾,11,87.7,285.4,29001,22.702924,113.811089
新庄园小区,宝安区,西乡街道,流塘,12,87.9,405.2,38381,22.590165,113.883432
正大安大厦,宝安区,新安街道,翻身,5,88.1,164.9,1785,22.564417,113.888456
富豪花园,宝安区,石岩街道,石岩,13,88.2,226.4,11378,22.681163,113.933916
金域豪庭,宝安区,福永街道,福永,11/12,88.6,440.3,101548,22.673652,113.803552
龙光·天悦龙庭,宝安区,新安街道,宝安中心,1/5,92.3,311.7,46258,22.560446,113.882205
富御花园,宝安区,新安街道,翻身,5,92.8,206.5,3354,22.562546,113.890423
天源花园,宝安区,新安街道,上川,12,94.2,192.0,2585,22.579246,113.893247
凤凰雅居,宝安区,西乡街道,宝田一路,12,94.3,239.9,12901,22.597758,113.871221
和安小区,宝安区,福海街道,福海西,12,95.1,429.4,45036,22.694592,113.78637
华联·城市全景,宝安区,新安街道,洪浪北,5,104.0,295.1,30063,22.576825,113.903076
古海花园,宝安区,西乡街道,平峦山,12,104.3,287.2,4879,22.604286,113.866309
怀德城市花园,宝安区,福永街道,怀德,12,104.9,326.2,6342,22.672216,113.814892
筑巢(前海)公寓,宝安区,新安街道,兴东,5,109.3,258.1,3400,22.586674,113.91548
水口花园,宝安区,新安街道,上川,12,110.3,524.3,175032,22.57834,113.896327
流塘荔景小区,宝安区,西乡街道,流塘,12,110.3,425.1,119114,22.582859,113.884492
新安湖别墅区,宝安区,新安街道,新安公园,12,111.2,262.7,3391,22.566089,113.903563
大观园小区,宝安区,新安街道,新安公园,12,111.6,178.1,1098,22.565103,113.904239
翡翠华庭,宝安区,新安街道,灵芝,12/5,112.7,195.3,2294,22.571917,113.901092
畔山美地嘉园,宝安区,西乡街道,平峦山,12,113.4,273.9,40832,22.608874,113.864261
中粮大悦城·铂悦,宝安区,新安街道,灵芝,12/5,113.4,307.1,17909,22.57063,113.896631
泰华花园,宝安区,新安街道,上川,12,114.1,342.9,8994,22.577138,113.893233
海天花园,宝安区,新安街道,翻身,5,115.4,221.2,13381,22.564721,113.889406
冠城世家,宝安区,新安街道,灵芝,12/5,116.2,355.5,73052,22.568921,113.899969
凤凰天誉,宝安区,西乡街道,宝田一路,12,119.3,256.3,15189,22.596778,113.875869
安泰花园,宝安区,西乡街道,坪洲,1,119.5,231.2,6647,22.571438,113.867929
兴安楼,宝安区,新安街道,洪浪北,5,121.6,251.5,4498,22.577987,113.908208
勤诚达·22世纪和园,宝安区,新安街道,洪浪北,5,121.8,329.3,25313,22.575045,113.904382
海乐花园,宝安区,西乡街道,西乡,1,122.0,303.0,15523,22.581706,113.856245
万象新天一期,宝安区,西乡街道,固戍,1,123.1,342.1,12482,22.60613,113.844165
新城市广场,宝安区,沙井街道,步涌,12,126.1,456.1,20138,22.761128,113.803002
沙浦一村永兴花园,宝安区,松岗街道,松岗,11/6,127.8,634.1,37088,22.774777,113.818465
香缇湾花园,宝安区,西乡街道,碧海湾,11,129.0,405.0,29852,22.578539,113.854209
鸿荣源·珈誉府6区,宝安区,新桥街道,塘尾,11,130.3,381.8,34464,22.701544,113.813464
新安湖花园,宝安区,新安街道,新安公园,12,131.2,444.9,90479,22.56699,113.90205
宝安6区,宝安区,新安街道,新安公园,12,137.4,215.6,3416,22.564797,113.903929
富达工业区宿舍,宝安区,新安街道,灵芝,12/5,138.4,316.1,10574,22.574583,113.897797
海云轩,宝安区,新安街道,翻身,5,138.9,244.5,9252,22.560783,113.888995
松河瑞园,宝安区,松岗街道,松岗,11/6,141.5,365.3,41290,22.772583,113.826785
水口花园宿舍楼,宝安区,新安街道,上川,12,143.2,289.2,6749,22.580059,113.894258
雅涛花园,宝安区,西乡街道,坪洲,1,146.8,333.1,14183,22.568965,113.866227
和合时代大厦,宝安区,石岩街道,上屋,13/6,147.1,307.0,9539,22.694407,113.933343
中粮大悦城·天玺壹号,宝安区,新安街道,灵芝,12/5,149.7,349.8,20432,22.571418,113.895864
润恒·都市茗荟花园(一期),宝安区,新安街道,新安,1,149.9,347.7,23956,22.553542,113.88803
富士君悦府,宝安区,西乡街道,固戍,1,151.3,273.5,10496,22.603871,113.839353
丽晶国际,宝安区,新安街道,宝安中心,1/5,152.4,306.5,19267,22.558842,113.884998
宏发·前城滨海花园（二期）,宝安区,西乡街道,坪洲,1,156.0,305.4,34975,22.573577,113.86813
鸿荣源·西岸观邸,宝安区,新安街道,新安,1,157.3,325.2,22564,22.553513,113.890614
玖玖颂阁,宝安区,新安街道,上川,12,157.4,511.3,15978,22.580657,113.886586
中洲华府,宝安区,新安街道,灵芝,12/5,157.6,489.7,85292,22.576359,113.900219
润恒·都市茗荟花园(二期),宝安区,新安街道,新安,1,158.3,369.7,34424,22.552105,113.886279
鸿荣源·熙龙湾（一期）,宝安区,新安街道,临海,5,159.4,350.1,58439,22.550442,113.884086
鸿达兴花园,宝安区,新桥街道,沙井,11,161.8,332.2,7621,22.730997,113.82102
弘雅花园三期,宝安区,新安街道,上川,12,162.5,315.1,54877,22.578382,113.888784
玺玥华府,宝安区,新安街道,洪浪北,5,163.0,281.5,8891,22.578997,113.903415
金雅新园,宝安区,西乡街道,宝安客运,12,163.0,284.2,11387,22.593467,113.876101
华发新城华苑一期,宝安区,沙井街道,海上田园南,12,163.3,446.6,30004,22.717896,113.771406
金成时代家园,宝安区,新安街道,宝体,1,165.5,281.5,19934,22.565537,113.877623
中海西岸华府北区,宝安区,松岗街道,朗下,12,165.7,479.8,96093,22.774005,113.815593
御溪城,宝安区,松岗街道,松岗,11/6,167.0,368.3,13124,22.77187,113.82458
南航明珠花园,宝安区,航城街道,固戍,1,168.2,618.3,82310,22.60784,113.837893
君成·雍和园,宝安区,西乡街道,宝安客运,12,168.3,393.6,23494,22.590758,113.881992
宝利小区,宝安区,西乡街道,西乡桃源,12,169.4,226.3,2269,22.614291,113.855153
中熙·香缤山花园,宝安区,西乡街道,宝田一路,12,170.2,337.3,17287,22.598021,113.876802
鸿荣源·珈誉府2区,宝安区,新桥街道,塘尾,11,171.6,324.2,40501,22.704598,113.815952
鸿荣源·熙龙湾（二期）,宝安区,新安街道,临海,5,172.2,326.1,50556,22.549062,113.886843
遇见·美舍,宝安区,新安街道,兴东,5,173.7,263.5,3198,22.583523,113.911845
蚝业雅苑,宝安区,西乡街道,西乡,1,174.9,232.9,3834,22.58,113.859005
松茂·御龙湾,宝安区,西乡街道,碧海湾,11,176.0,283.2,40087,22.576899,113.848438
万科大都会,宝安区,新安街道,灵芝,12/5,176.5,381.3,27807,22.57269,113.895555
白金假日公寓,宝安区,西乡街道,坪洲,1,179.0,241.7,8168,22.570527,113.863951
中海西岸华府南区,宝安区,松岗街道,朗下,12,179.7,432.3,45354,22.771621,113.817017
怡景花苑,宝安区,新安街道,翻身,5,180.3,234.0,6535,22.563227,113.886205
和荣西湾,宝安区,西乡街道,固戍,1,181.2,403.9,10248,22.60521,113.8384
富东花园,宝安区,西乡街道,流塘,12,181.8,328.6,24987,22.585831,113.881591
桃源居15区,宝安区,西乡街道,钟屋南,12,184.5,467.0,60998,22.621054,113.858557
西乡安居家园,宝安区,航城街道,固戍,1,187.0,537.7,26407,22.608535,113.840999
半岛明苑,宝安区,西乡街道,坪洲,1,187.4,418.3,15312,22.573438,113.869477
庄边金庄园,宝安区,西乡街道,流塘,12,187.6,477.1,32508,22.589037,113.880761
怀德峰景,宝安区,福永街道,怀德,12,188.3,385.8,47077,22.665969,113.814761
学府雅苑,宝安区,沙井街道,马安山,11,188.9,338.5,4546,22.718332,113.809072
麒麟名都,宝安区,新桥街道,沙井,11,192.3,391.9,18399,22.736866,113.820827
西城品阁,宝安区,新安街道,上川,12,195.7,348.8,6673,22.579932,113.888077
翠岗小区二区,宝安区,福永街道,福围,12,196.2,353.0,17270,22.663029,113.816436
桥头岭,宝安区,石岩街道,罗租,13,198.0,482.7,80942,22.675307,113.929084
河东骏丰园,宝安区,西乡街道,流塘,12,198.9,434.3,13657,22.586841,113.880429
海鹏苑,盐田区,,盐田港西,2/8,0.0,77.9,5045,22.564763,114.24094
洪安围华侨新村二期,盐田区,,鸿安围,2/8,5.0,210.0,27164,22.592108,114.260788
三环小区,盐田区,,沙头角,2/8,8.7,105.9,12621,22.557973,114.217582
东海丽景花园,盐田区,,盐田路,2/8,9.8,389.2,32866,22.593154,114.253511
南苑小区,盐田区,,鸿安围,2/8,10.3,187.4,7268,22.593428,114.261133
倚山时代雅居,盐田区,,鸿安围,2/8,12.4,57.4,5038,22.59294,114.25909
裕宏园,盐田区,,盐田路,2/8,13.1,233.6,12002,22.59324,114.251049
金港·盛世华庭,盐田区,,盐田路,2/8,16.7,89.3,13018,22.591954,114.249937
东部阳光花园,盐田区,,盐田港西,2/8,21.6,108.0,20528,22.565399,114.240772
半山悦海花园,盐田区,,沙头角,2/8,34.5,263.9,18300,22.558107,114.215823
盐田北山工业区宿舍,盐田区,,鸿安围,2/8,53.3,93.6,4301,22.594135,114.259786
佳兆业·山海城,盐田区,,盐田路,2/8,61.3,250.0,18936,22.590425,114.248071
蔚蓝海湾苑,盐田区,,盐田墟,2/8,62.3,209.8,1890,22.589034,114.272504
合泰御景翠峰,盐田区,,沙头角,2/8,64.5,260.2,16270,22.556446,114.215806
裕达华庭,盐田区,,盐田路,2/8,68.2,323.2,8760,22.593991,114.251375
海滨假日,盐田区,,盐田墟,2/8,68.3,229.1,3791,22.589735,114.268759
洪安围华侨新村一期,盐田区,,鸿安围,2/8,79.3,293.0,33886,22.590836,114.259932
蔚蓝假日雅苑,盐田区,,盐田墟,2/8,82.7,228.7,917,22.589431,114.272973
沙头角海关生活区,盐田区,,沙头角,2/8,83.2,181.0,7449,22.5558,114.219088
金水湾御园,盐田区,,盐田路,2/8,86.5,391.1,11426,22.594423,114.251977
梧桐阁,盐田区,,沙头角,2/8,91.8,116.7,4063,22.55618,114.21844
海都花园,盐田区,,海山,2/8,98.8,238.3,3372,22.559861,114.234444
天利明园,盐田区,,盐田路,2/8,105.3,357.6,4693,22.592286,114.253628
沙副小区,盐田区,,沙头角,2/8,114.8,263.9,9444,22.555265,114.21968
海山道1号,盐田区,,海山,2/8,115.2,289.7,14922,22.560825,114.233646
梧桐海景苑,盐田区,,盐田港西,2/8,117.5,156.1,2479,22.566314,114.241561
鹏广达时代广场,盐田区,,盐田路,2/8,121.8,259.7,10539,22.593512,114.249722
深大书香文苑,盐田区,,盐田墟,2/8,131.2,122.5,6058,22.591303,114.271202
丰度公寓,盐田区,,沙头角,2/8,149.5,313.3,408,22.556277,114.221076
沿港社区,盐田区,,盐田墟,2/8,152.9,317.0,10569,22.588965,114.268158
山海四季城2期·华府,盐田区,,盐田路,2/8,156.3,375.5,13001,22.594627,114.250336
鹏广达·公园道,盐田区,,盐田路,2/8,159.7,499.0,4762,22.59394,114.254221
山海阳光云景,盐田区,,沙头角,2/8,172.5,261.4,7168,22.559479,114.217514
春天海,盐田区,,盐田墟,2/8,174.0,365.0,2990,22.58934,114.267505
梧桐馨园,盐田区,,盐田港西,2/8,174.2,227.3,4600,22.566608,114.24044
首开龙湖天琅,盐田区,,盐田港西,2/8,179.6,223.6,3947,22.566851,114.241085
佳兆业新三村家园,盐田区,,盐田路,2/8,185.9,386.9,19429,22.588668,114.25288
万科·天琴湾,盐田区,,小梅沙,2/8,186.8,549.8,259305,22.600928,114.317361
海安居,盐田区,,沙头角,2/8,189.7,277.9,874,22.559322,114.219654
东和公司工人生活区,盐田区,,沙头角,2/8,190.0,415.0,22709,22.559073,114.2217
和亨中心广场,盐田区,,盐田路,2/8,194.6,392.2,9126,22.591369,114.246525
和亨雅园,盐田区,,鸿安围,2/8,196.2,365.7,5109,22.592012,114.262529
通新岭小区北区,福田区,,通新岭,3/6,0.0,171.9,43041,22.550443,114.092101
万科·瑧山府（三期）,福田区,,安托山,2/7/8,0.0,105.8,15278,22.552395,114.001904
彩福大厦,福田区,,岗厦,1/10,0.0,135.7,10480,22.538675,114.06234
花好园,福田区,,下沙,9,0.0,164.3,11070,22.531083,114.020108
梅林阁,福田区,,梅村,9,0.0,199.2,4110,22.570709,114.049043
岁宝壹品,福田区,,八卦岭,6/7,0.0,220.5,32158,22.565604,114.088634
中旅·国际公馆二期,福田区,,侨香,2/8,0.0,195.7,64533,22.550748,114.008949
绿景·虹湾,福田区,,梅景,9,0.0,119.4,39537,22.563751,114.034079
香蜜湖水榭花都,福田区,,香梅,9,0.0,388.2,169917,22.551148,114.032132
汇港名苑,福田区,,赤尾,7,0.0,188.7,13394,22.532847,114.078594
彩田居,福田区,,莲花北,4,0.0,76.8,1167,22.56413,114.054622
知本大厦,福田区,,福民,7,0.0,90.6,2033,22.52648,114.060248
雅福居,福田区,,安托山,2/7/8,1.2,96.2,11705,22.551082,114.001966
梅林海关生活区,福田区,,莲花北,4,1.2,95.1,9773,22.563422,114.053407
园岭新村一期,福田区,,红岭,3/9,1.9,197.4,37316,22.552758,114.098114
安居苑,福田区,,莲花北,4,1.9,89.3,11186,22.562978,114.054995
景福大厦,福田区,,赤尾,7,2.0,115.6,7482,22.534057,114.077796
金梅花园,福田区,,下梅林,9,2.2,160.3,25128,22.56834,114.038436
福源花园3期,福田区,,福保,3,2.7,183.1,15144,22.511497,114.04947
彩虹新都,福田区,,岗厦,1/10,2.7,118.8,10402,22.538538,114.06348
新浩城花园,福田区,,侨城东,1,3.2,138.9,16541,22.534174,113.991615
缔梦园,福田区,,景田,2/8/9,3.5,228.3,27901,22.554833,114.036881
加福华尔登府邸,福田区,,福田口岸,10/4,3.6,313.0,8437,22.520165,114.061229
香荔花园馨苑,福田区,,农林,7,3.6,114.8,6405,22.544042,114.013964
尚书苑,福田区,,梅景,9,4.1,222.9,14870,22.565578,114.032577
振业梅苑,福田区,,上梅林,4/9,4.1,261.7,14727,22.569749,114.05449
荔林苑,福田区,,农林,7,4.4,65.9,7436,22.543763,114.012825
恒福花园,福田区,,福民,7,4.4,384.1,3959,22.529795,114.062505
彩天名苑,福田区,,岗厦北,10/11/14/2/8,4.4,329.1,6428,22.540155,114.063355
润裕花园西区,福田区,,下梅林,9,4.5,105.3,4640,22.56909,114.03766
福莲花园,福田区,,莲花村,10/3,5.0,265.2,55535,22.549284,114.063937
城市3米6公寓,福田区,,福保,3,5.2,86.7,5586,22.511559,114.050977
碧云天,福田区,,梅景,9,5.3,106.5,11630,22.563129,114.032024
南华花园,福田区,,华强南,11/7,5.8,186.5,9021,22.538651,114.082448
海滨广场,福田区,,福民,7,6.3,291.2,14105,22.529161,114.061632
枫丹雅苑,福田区,,香蜜,2/8,6.8,91.2,7076,22.556438,114.018131
万科金色家园,福田区,,景田,2/8/9,6.9,110.1,27343,22.557084,114.039008
海康大厦,福田区,,上梅林,4/9,6.9,231.6,7325,22.570474,114.05631
皇岗新村一期,福田区,,皇岗村,7,7.8,183.8,48780,22.52503,114.055506
长城盛世家园一期,福田区,,冬瓜岭,10,9.2,118.8,7910,22.562939,114.061489
中央花园,福田区,,石厦,3/7,9.3,86.2,11909,22.526353,114.047629
共和世家,福田区,,皇岗村,7,9.3,196.3,37906,22.524295,114.053032
皇达·东方雅苑,福田区,,皇岗村,7,9.9,195.4,15169,22.526698,114.052287
星河明居,福田区,,石厦,3/7,10.2,139.2,7236,22.525132,114.047913
绿景花园二期,福田区,,沙尾,7,10.3,132.3,21298,22.524589,114.03794
彩天怡色家园,福田区,,冬瓜岭,10,10.8,116.5,3987,22.564007,114.061474
园岭一街小区,福田区,,通新岭,3/6,11.6,215.8,26467,22.553095,114.092445
安峦公馆,福田区,,安托山,2/7/8,11.9,161.1,13506,22.551024,113.999847
益田大厦,福田区,,益田,3,12.8,64.9,12536,22.518226,114.045857
益田名园,福田区,,益田,3,13.2,159.5,14292,22.520248,114.045895
缇香名苑,福田区,,香梅,9,14.6,182.5,17734,22.547561,114.035892
鹏益花园,福田区,,八卦岭,6/7,14.9,99.8,25017,22.562889,114.089601
香蜜湖一号,福田区,,香梅北,2/8,15.4,295.0,92899,22.554452,114.029431
帝港海湾豪园,福田区,,福保,3,15.9,135.1,12358,22.511889,114.050526
中银花园,福田区,,莲花村,10/3,16.0,190.7,20731,22.550121,114.061389
豪峰园,福田区,,香蜜,2/8,16.5,134.1,8788,22.556429,114.017525
福雅园,福田区,,福民,7,16.7,162.7,5310,22.525154,114.061506
长城花园,福田区,,黄木岗,14/7,16.9,308.1,35707,22.557149,114.084757
中港城,福田区,,益田,3,17.0,201.6,15973,22.519424,114.047743
时代星居,福田区,,福民,7,18.3,110.7,3140,22.525616,114.061413
皇福御苑,福田区,,福民,7,19.3,28.8,2027,22.526321,114.061079
紫薇阁,福田区,,梅景,9,19.7,266.8,3224,22.561317,114.033765
怡枫园,福田区,,景田,2/8/9,19.7,202.4,8909,22.555574,114.040409
艺丰花园C区,福田区,,孖岭,10/9,19.8,175.3,14986,22.572132,114.062777
海馨苑,福田区,,黄木岗,14/7,21.6,430.1,53678,22.555132,114.080274
黄埔雅苑翠悠园,福田区,,莲花西,2/8,21.7,182.4,32812,22.548331,114.045695
银泰苑,福田区,,福田口岸,10/4,22.7,433.9,9609,22.518757,114.05922
荔园阁二期,福田区,,梅村,9,22.8,158.3,6079,22.570251,114.046003
八卦岭宿舍区,福田区,,红岭北,7/9,22.8,330.0,113879,22.563253,114.096639
华强花园,福田区,,华强路,1,23.5,146.5,44592,22.541719,114.079951
百花园一期,福田区,,体育中心,6,24.4,89.3,14941,22.557019,114.089817
翠海花园,福田区,,侨香,2/8,25.1,250.4,41112,22.553993,114.011135
绿景花园一期,福田区,,沙尾,7,25.6,193.8,14788,22.525024,114.036732
福群楼,福田区,,赤尾,7,27.1,210.4,16888,22.533762,114.076927
莲花天心楼,福田区,,莲花北,4,27.3,90.5,2255,22.562877,114.053753
中康生活区,福田区,,梅村,9,28.0,300.6,29709,22.571866,114.050002
福民佳园,福田区,,福民,7,28.1,158.6,11267,22.525285,114.060464
圆梦园,福田区,,福保,3,28.5,203.1,10738,22.512219,114.0523
嘉麟豪庭,福田区,,岗厦北,10/11/14/2/8,28.8,278.0,2238,22.541489,114.061501
下步庙北区,福田区,,华强南,11/7,29.2,126.2,51554,22.53954,114.083207
怡和楼,福田区,,上沙,7,29.6,185.4,5354,22.527167,114.032395
翡翠名园,福田区,,冬瓜岭,10,30.6,192.2,13643,22.56498,114.061487
润裕花园东区,福田区,,下梅林,9,31.5,273.3,4569,22.569724,114.039172
民宁园,福田区,,冬瓜岭,10,32.0,102.1,5221,22.563568,114.061479
新天国际名苑,福田区,,香蜜,2/8,32.5,232.0,13405,22.554716,114.020564
福贸花园,福田区,,上梅林,4/9,33.0,136.1,10446,22.572369,114.053585
中泰燕南名庭,福田区,,燕南,2/8,35.4,165.6,6632,22.54782,114.088352
茗香苑,福田区,,景田,2/8/9,35.5,199.9,3936,22.557882,114.037897
香荔花园二期,福田区,,农林,7,35.5,131.1,14660,22.544464,114.013277
水围金怡华庭,福田区,,福民,7,37.0,254.7,7560,22.527111,114.058713
中国民生银行员工宿舍,福田区,,孖岭,10/9,37.4,186.6,3645,22.57161,114.061002
安居百泉阁,福田区,,安托山,2/7/8,37.7,192.1,6051,22.550093,114.002077
金地翠园,福田区,,石厦,3/7,38.3,106.3,7607,22.52712,114.048959
香蜜湖豪庭,福田区,,香蜜,2/8,39.1,136.6,5995,22.554612,114.019139
众孚大厦,福田区,,石厦,3/7,40.0,190.6,3338,22.525152,114.047064
物业时代新居,福田区,,益田,3,41.0,231.2,21012,22.520761,114.045105
赛格苑,福田区,,华强南,11/7,43.0,177.3,9960,22.541913,114.082546
深荣大厦,福田区,,福田口岸,10/4,44.3,333.0,7886,22.520935,114.062104
梅林苑,福田区,,梅景,9,44.9,103.4,11752,22.563943,114.031997
园岭新村-北3区,福田区,,园岭,9,46.4,195.2,5730,22.557879,114.097867
富强花园,福田区,,福民,7,46.6,479.6,5071,22.530055,114.063896
